,postal_code,business_id,num_category,is_chain,hours_avg
0,85027,UlyCnc4_Suu2DSqYQSwkqQ,9,0,11.0
1,85004,bs07-hLuz0dq06gIUwR5mw,15,0,10.857142857142858
2,85034,KZ9v7M1A5t6OMDghR64_5g,3,0,7.928571428571429
3,85034,B1jlDEUrVyPgR4vOMnaiKQ,1,0,15.5
4,85016,fmyo8-JBOu5bjczEsLJyBA,4,0,15.571428571428571
5,85016,aBmuthrQ7yP8cnbgkxU5Ug,5,0,11.142857142857142
6,85004,iBkc2dV-lXeXadYwmnOOIA,2,0,12.142857142857142
7,85032,s7LncUuPc9yaZ7wDsIALGg,0,0,11.285714285714286
8,85028,qQCsLGMncJp1xWUGnOKCQA,3,0,14.571428571428571
9,85008,6tR7FLJkwlDspVxsfrMulQ,0,0,0.0
10,85018,H9tJl_ntsan-YSZElKKK2w,3,0,8.0
11,85020,mVE168W1PBHwgZufvXTSIw,2,0,0.0
12,85032,gQg_z_bqR9Lp9oLuv659YA,10,0,9.142857142857142
13,85016,nn4ZkIZTCd7jJhxs-P9tHA,4,0,0.0
14,85032,3qZsY2LiLyKwGkOq_hrnzQ,10,0,14.214285714285714
15,85027,4MZF63-pHMaYe-yNmd4aaQ,1,0,16.0
16,85004,hoLFXFgUY_la0o46ULc-DA,2,0,0.0
17,85014,fmnE6VQLBhgIrb6RBuqmjA,1,0,7.857142857142857
18,85014,_sl9bPjO7j3Lk1Lem8l_5Q,2,0,0.0
19,85028,10d6PDujQkQmrvQMK6V0xA,1,1,0.0
20,85008,fDPI6UBxSFX2MC3MmfM-CA,1,1,0.0
21,85016,1jasd5ZhHsS8CLGv34YEow,1,0,0.0
22,85020,1_QvyrhHsAEowZv7ImU3QA,2,0,15.142857142857142
23,85004,oM6vBO0UEJB_uuOt9D0GSA,15,0,0.0
24,85029,i0tjPMOqaFGZe_wtybxzxA,1,0,0.0
25,85016,Ndozr_--5-wzyDJ2T7TfpQ,2,0,0.0
26,85032,Mca0HEKs8Xfa4VimLD1uGQ,9,0,0.0
27,85016,q4CjxLPsMCAPeST0lcQlOg,17,0,6.857142857142857
28,85044,EIb85lCA6HMzxdsacYtjGA,5,0,10.857142857142858
29,85018,IhBiHpjqJP01qX1dCxG9-A,15,0,12.357142857142858
30,85004,6BjIGgxIkCks3NTpkj3fAw,12,0,4.642857142857143
31,85029,BWgVrMV20K2o3pIH2Ff-Iw,1,0,0.0
32,85044,QyfX-6jFfINH1MuXS8R6ZA,9,0,0.0
33,85022,xFX3mg1MGCV9AV45CDd6FA,10,0,11.285714285714286
34,85016,zRK93KUNUSLWckxU611QNQ,17,0,7.285714285714286
35,85014,I9nziYEw4YIFjr3ZDBpFog,15,0,11.571428571428571
36,85018,3_A59jPniLD5ViVuKMYpJw,3,0,7.714285714285714
37,85018,_e3rChyednoh47n2cjGv2w,8,0,9.428571428571429
38,85034,eKwGIkeo6miVLcCzygtBjg,2,0,20.0
39,85034,Z3dJG3W9xrxegM5j8ny74w,2,0,18.0
40,85004,k_SfP93Tmlpmx-5OL1JmTg,0,0,6.571428571428571
41,85004,I1dZ6e1G4757Ll5CeE3Wdw,1,0,10.25
42,85016,PSY6Fpn6QRC-yWcz0Jnm1w,1,0,10.25
43,85044,Q0HAhn2Pi2afILbtiPvlIQ,1,0,12.0
44,85012,vlJsF5tTfplbo1D5kbUPmQ,8,0,9.857142857142858
45,85022,l0WauZ92kRg9bu2oxHj4TQ,8,0,10.142857142857142
46,85028,SvlTuwslYKdqvqWtDe2dgA,4,0,9.285714285714286
47,85028,3BYLel7hPVEXzzVSHHEwHA,4,0,9.285714285714286
48,85022,q4i-kcryM2X8VXWQcGbiSw,3,0,8.571428571428571
49,85012,lrfbOC8cbxc4NsguFeSjmw,2,0,15.0
50,85022,QMM5fh2x_sajRUmkbiKGpQ,1,0,15.0
51,85008,biPAbciX6zfsfmTDozFrIA,1,0,6.0
52,85018,NL95JTNTh_gebXKSz2ElNg,1,0,5.428571428571429
53,85012,VgfqjXetLMxn5X5_uomBkg,8,0,8.0
54,85027,fyFmamI9xY0_OOgH6tO3pg,0,0,0.0
55,85004,zrTGcb83AsfyVTMrsCa65A,2,0,9.714285714285714
56,85027,UX0Gp7fwXIaLjGS3aupV9Q,16,0,14.428571428571429
57,85034,O45cN_WzbJfO5JhF4nPZvA,2,0,0.0
58,85044,BAJTueyZYX91qWtMzFI2cw,1,0,8.857142857142858
59,85004,wPcj-wgz8UsDiG_I__wybw,2,0,0.8571428571428571
60,85034,_HVZ1V8IDa49MWdejx9BbA,0,0,0.0
61,85016,UJewG9UgVXQ7fyP4UHwnxw,0,0,11.714285714285714
62,85004,XuxKpCqnjpW_VPxSho4djQ,0,0,0.0
63,85016,6pXwPMO871ir8ZnmyBbLEg,1,0,13.571428571428571
64,85022,AdB7a8eo7uK_Fq-aX6_l8g,2,0,16.0
65,85004,57Ot-sRTzL925ipv-5SzTg,2,0,0.0
66,85044,gio48on8yQyFW1fJ1dChGg,12,0,12.642857142857142
67,85034,4balGoT43o5N1zc8Q6dekg,12,0,0.0
68,85016,lIqazWWsskuh07n5By4zYQ,2,0,0.0
69,85004,plWuv4gda7m0KlqCNhrb4w,2,0,11.0
70,85016,LHyj66waFlDcw9UToo27JQ,2,0,11.285714285714286
71,85044,poSV39UqEg-gpESXafS9-g,2,0,10.285714285714286
72,85032,j54GyKYDKBdbZFdcLUXHJQ,2,0,0.0
73,85016,Qy_HoQghOHgco-R904BCCw,2,0,0.0
74,85016,35VxyqQnyK7ttzZZCHP9sA,2,0,13.0
75,85029,JBrBsKpw0bbXK5nlrXVOYQ,5,0,10.285714285714286
76,85032,E-DyJWXjao8lyTw3xvXY-Q,18,0,10.0
